Data;Arquivo;Laboratorio/Grupo;Prof.Orientador;Email;Aluno;Email;IC/MS/Dr/Pesq;Nome Amostra;2thetai;2thetaf;Countingtime;TotalTime;XrayTube;XrayMirror
2010-01-14;Xpert_001.xrdml;;;;;;;Fe-Co usada;3.00656514;79.98941247;77.570;1904;PW3376/00 Co LFF DK184432;Inc. Beam Co W/Si (hybrid MPD);
2010-04-26;Xpert_286_1.xrdml;;;;;;;CNITO 1;20.01156514;59.99327589;77.520;1030;PW3376/00 Co LFF DK184432;;
2010-01-14;Xpert_002.xrdml;;;;;;;Fe-Mn usada;3.00656514;79.98941247;77.520;1901;PW3376/00 Co LFF DK184432;Inc. Beam Co W/Si (hybrid MPD);
2010-01-14;Xpert_003.xrdml;;;;;;;Mn-Fe usada;3.00656514;79.98941247;77.520;1900;PW3376/00 Co LFF DK184432;Inc. Beam Co W/Si (hybrid MPD);
2010-01-14;Xpert_004.xrdml;;;;;;;Sn-Fe usada;3.00656514;79.98941247;77.520;1901;PW3376/00 Co LFF DK184432;Inc. Beam Co W/Si (hybrid MPD);
2010-01-14;Xpert_005.xrdml;;;;;;;NiFe2O4 c/ nitrato1;15.00356514;119.99330542;77.520;2561;PW3376/00 Co LFF DK184432;Inc. Beam Co W/Si (hybrid MPD);
2010-01-14;Xpert_006.xrdml;;;;;;;NiFe2O4 nitrato;15.00356514;119.99330542;77.520;2561;PW3376/00 Co LFF DK184432;Inc. Beam Co W/Si (hybrid MPD);
2010-01-14;Xpert_007.xrdml;;;;;;;FPO-LPT;10.01156514;49.99327589;77.520;1027;PW3376/00 Co LFF DK184432;Inc. Beam Co W/Si (hybrid MPD);
2010-01-14;Xpert_008.xrdml;;;;;;;FT1-LPT;10.01156514;49.99327589;77.520;1030;PW3376/00 Co LFF DK184432;Inc. Beam Co W/Si (hybrid MPD);
2010-01-14;Xpert_009.xrdml;;;;;;;FT2-LPT;10.01156514;49.99327589;77.520;1030;PW3376/00 Co LFF DK184432;Inc. Beam Co W/Si (hybrid MPD);
2010-01-14;Xpert_010.xrdml;;;;;;;FT3-LPT;10.01156514;49.99327589;77.520;1030;PW3376/00 Co LFF DK184432;Inc. Beam Co W/Si (hybrid MPD);
2010-01-14;Xpert_011.xrdml;;;;;;;A3;15.01156514;79.99333411;77.520;1619;PW3376/00 Co LFF DK184432;Inc. Beam Co W/Si (hybrid MPD);
2010-01-14;Xpert_012.xrdml;;;;;;;EA027;20.00856514;89.99297181;77.520;1737;PW3376/00 Co LFF DK184432;Inc. Beam Co W/Si (hybrid MPD);
2010-01-22;Xpert_013.xrdml;;;;;;;MgMoO4 570 C;10.01156514;49.99327589;77.520;1029;PW3376/00 Co LFF DK184432;;
2010-01-22;Xpert_014.xrdml;;;;;;;acido glutamico;10.01156514;49.99327589;77.520;1027;PW3376/00 Co LFF DK184432;;
2010-01-22;Xpert_015.xrdml;;;;;;;l-glutamina;10.00656514;59.99355129;77.520;1267;PW3376/00 Co LFF DK184432;;
2010-01-22;Xpert_016.xrdml;;;;;;;coacervato;10.00856514;79.99297181;77.520;1736;PW3376/00 Co LFF DK184432;;
2010-01-22;Xpert_017.xrdml;;;;;;;coacervato  com n/p;10.00856514;79.99297181;77.520;1736;PW3376/00 Co LFF DK184432;;
2010-01-22;Xpert_018.xrdml;;;;;;;l-arginina;10.01156514;49.99327589;77.520;1029;PW3376/00 Co LFF DK184432;;
2010-01-26;Xpert_019.xrdml;;;;;;;AY001;15.00356514;119.99330542;77.570;2564;PW3376/00 Co LFF DK184432;;
2010-01-26;Xpert_020.xrdml;;;;;;;NiFe2O4_800;15.00356514;119.99330542;77.520;2562;PW3376/00 Co LFF DK184432;;
2010-01-26;Xpert_021.xrdml;;;;;;;LMSR01;0.50056514;9.99375952;77.520;306;PW3376/00 Co LFF DK184432;;
2010-01-26;Xpert_022.xrdml;;;;;;;LMSR02;0.50056514;9.99375952;77.520;309;PW3376/00 Co LFF DK184432;;
