	AM04 F2-942	2011-12-16 08:57	14	1
	MgO	mass%	112	1.7574
	Al2O3	mass%	113	14.877
	SiO2	mass%	114	63.866
	P2O5	mass%	115	0.3171
	Cl	mass%	17	0.1553
	K2O	mass%	119	5.0606
	CaO	mass%	120	2.4116
	TiO2	mass%	122	1.9341
	MnO	mass%	125	0.1620
	Fe2O3	mass%	126	9.2371
	NiO	mass%	128	0.0291
	Rb2O	mass%	137	0.0256
	SrO	mass%	138	0.0568
	ZrO2	mass%	140	0.1098
	AM01 F3-942	2011-12-16 09:28	12	1
	Al2O3	mass%	113	18.437
	SiO2	mass%	114	57.303
	P2O5	mass%	115	0.3296
	Cl	mass%	17	0.0634
	K2O	mass%	119	5.1410
	CaO	mass%	120	1.7716
	TiO2	mass%	122	1.7838
	MnO	mass%	125	0.1972
	Fe2O3	mass%	126	14.828
	ZnO	mass%	130	0.0310
	Rb2O	mass%	137	0.0529
	SrO	mass%	138	0.0612
	AM02 F3-942	2011-12-16 09:59	11	1
	MgO	mass%	112	1.8193
	Al2O3	mass%	113	19.970
	SiO2	mass%	114	57.694
	Cl	mass%	17	0.1041
	K2O	mass%	119	5.0441
	CaO	mass%	120	2.2834
	TiO2	mass%	122	1.8266
	MnO	mass%	125	0.1347
	Fe2O3	mass%	126	11.022
	Rb2O	mass%	137	0.0347
	SrO	mass%	138	0.0666
	AM03 F3-942	2011-12-16 10:30	11	1
	Al2O3	mass%	113	19.877
	SiO2	mass%	114	56.864
	P2O5	mass%	115	0.2478
	Cl	mass%	17	0.2269
	K2O	mass%	119	4.6867
	CaO	mass%	120	2.0222
	TiO2	mass%	122	1.6290
	MnO	mass%	125	0.1473
	Fe2O3	mass%	126	14.193
	Rb2O	mass%	137	0.0480
	SrO	mass%	138	0.0578
	AM02 F5-942	2011-12-16 11:32	12	1
	Al2O3	mass%	113	17.099
	SiO2	mass%	114	62.707
	Cl	mass%	17	0.1694
	K2O	mass%	119	5.8325
	CaO	mass%	120	2.7291
	TiO2	mass%	122	1.6588
	MnO	mass%	125	0.1264
	Fe2O3	mass%	126	9.2352
	ZnO	mass%	130	0.0267
	Rb2O	mass%	137	0.0433
	SrO	mass%	138	0.0842
	ZrO2	mass%	140	0.2884
	AM03 F5-942	2011-12-16 12:03	12	1
	MgO	mass%	112	1.6105
	Al2O3	mass%	113	18.565
	SiO2	mass%	114	58.806
	Cl	mass%	17	0.2154
	K2O	mass%	119	4.9652
	CaO	mass%	120	1.9999
	TiO2	mass%	122	1.6793
	MnO	mass%	125	0.1330
	Fe2O3	mass%	126	11.806
	Rb2O	mass%	137	0.0415
	SrO	mass%	138	0.0524
	ZrO2	mass%	140	0.1264
	AM04 F5-942	2011-12-16 12:34	15	1
	MgO	mass%	112	2.0555
	Al2O3	mass%	113	14.641
	SiO2	mass%	114	64.024
	P2O5	mass%	115	0.2778
	Cl	mass%	17	0.2798
	K2O	mass%	119	5.0820
	CaO	mass%	120	2.2629
	TiO2	mass%	122	1.7523
	MnO	mass%	125	0.1823
	Fe2O3	mass%	126	9.0270
	Rb2O	mass%	137	0.0345
	SrO	mass%	138	0.0672
	ZrO2	mass%	140	0.1214
	Ag2O	mass%	147	0.0941
	CdO	mass%	148	0.0985
	AM01 F7-942	2011-12-16 13:05	14	1
	MgO	mass%	112	2.1622
	Al2O3	mass%	113	17.351
	SiO2	mass%	114	56.711
	Cl	mass%	17	0.0460
	K2O	mass%	119	5.4577
	CaO	mass%	120	2.3958
	TiO2	mass%	122	1.8177
	MnO	mass%	125	0.1617
	Fe2O3	mass%	126	13.210
	ZnO	mass%	130	0.0372
	Rb2O	mass%	137	0.0441
	SrO	mass%	138	0.0676
	ZrO2	mass%	140	0.1442
	Rh2O3	mass%	145	0.3940
	AM02 F05-927	2011-12-30 13:21	11	1
	Al2O3	mass%	113	17.486
	SiO2	mass%	114	61.480
	P2O5	mass%	115	0.3608
	K2O	mass%	119	5.1789
	CaO	mass%	120	2.5584
	TiO2	mass%	122	2.0083
	MnO	mass%	125	0.2129
	Fe2O3	mass%	126	10.280
	Rb2O	mass%	137	0.0499
	SrO	mass%	138	0.0849
	ZrO2	mass%	140	0.3005
	AM02 F7-942	2011-12-16 13:35	17	1
	MgO	mass%	112	1.7167
	Al2O3	mass%	113	17.906
	SiO2	mass%	114	57.835
	P2O5	mass%	115	0.2382
	Cl	mass%	17	0.1306
	K2O	mass%	119	4.9697
	CaO	mass%	120	2.3835
	TiO2	mass%	122	1.6747
	MnO	mass%	125	0.1196
	Fe2O3	mass%	126	12.097
	ZnO	mass%	130	0.0279
	Rb2O	mass%	137	0.0350
	SrO	mass%	138	0.0595
	ZrO2	mass%	140	0.0901
	MoO3	mass%	142	0.4883
	Ag2O	mass%	147	0.1142
	CdO	mass%	148	0.1133
	AM01 F5-942	2011-12-16 14:25	13	1
	MgO	mass%	112	1.6633
	Al2O3	mass%	113	20.292
	SiO2	mass%	114	57.680
	P2O5	mass%	115	0.3054
	Cl	mass%	17	0.1593
	K2O	mass%	119	4.9825
	CaO	mass%	120	1.7240
	TiO2	mass%	122	1.6157
	V2O5	mass%	123	0.1660
	MnO	mass%	125	0.1345
	Fe2O3	mass%	126	11.200
	Rb2O	mass%	137	0.0370
	SrO	mass%	138	0.0399
	AM03 F7-942	2011-12-16 14:57	16	1
	MgO	mass%	112	1.2372
	Al2O3	mass%	113	18.468
	SiO2	mass%	114	59.458
	P2O5	mass%	115	0.3383
	Cl	mass%	17	0.1469
	K2O	mass%	119	4.5497
	CaO	mass%	120	3.5637
	TiO2	mass%	122	1.5069
	MnO	mass%	125	0.1682
	Fe2O3	mass%	126	10.092
	ZnO	mass%	130	0.0325
	Rb2O	mass%	137	0.0262
	SrO	mass%	138	0.0720
	ZrO2	mass%	140	0.0881
	Ag2O	mass%	147	0.1191
	CdO	mass%	148	0.1329
	AM01 F04-929	2011-12-30 13:52	13	1
	MgO	mass%	112	1.8030
	Al2O3	mass%	113	16.645
	SiO2	mass%	114	59.519
